iter	Passed	Remaining
1630	24440	50483
1631	24455	50469
1632	24470	50454
1633	24484	50437
1634	24499	50422
1635	24513	50405
1636	24530	50395
1637	24547	50383
1638	24563	50370
1639	24582	50364
1640	24595	50345
1641	24611	50332
1642	24627	50319
1643	24642	50303
1644	24658	50290
1645	24672	50273
1646	24687	50258
1647	24701	50242
1648	24716	50227
1649	24730	50209
1650	24744	50193
1651	24758	50176
1652	24775	50164
1653	24790	50149
1654	24803	50131
1655	24821	50123
1656	24837	50108
1657	24853	50096
1658	24869	50083
1659	24883	50066
1660	24898	50052
1661	24914	50039
1662	24930	50025
1663	24946	50013
